"Please update your payment information","Veuillez mettre à jour vos informations de paiement"
"Valued customer","Cher client"
"Thank you very much for your order at %storeName","Merci pour votre commande auprès de %storeName"
"Amazon Payments was not able to process your payment","Malheureusement Amazon Payments n'a pas pu traiter le paiement"
"Please go to <a href=""%amazonAccountUrl"">%amazonAccountUrl</a> and update the payment information for your order","Veuillez aller sur <a href=""%amazonAccountUrl"">%amazonAccountUrl</a> et mettez à jour les informations de paiement pour votre commande"
"Afterwards we will automatically request payment again from Amazon Payments and you will receive a confirmation email","Dans la suite une nouvelle demande de paiement va être demandé à Amazon Payments et vous allez recevoir un email de confirmation"
"Kind regards","Meilleures salutations"
"Please contact us about your order","Veuillez nous contacter pour votre commande"
"Unfortunately Amazon Payments declined the payment for your order in our online shop %storeName. Please contact us.","Malheureusement Amazon Payments n'a pas pu traier le paiement pour votre commande auprès de %storeName. Veuillez nous contacter concernant cette commande."
