"Please update your payment information","Bitte aktualisieren Sie Ihre Zahlungsinformationen"
"Valued customer","Sehr geehrter Kunde"
"Thank you very much for your order at %storeName","Vielen Dank für Ihre Bestellung bei %storeName"
"Amazon Payments was not able to process your payment","Leider wurde Ihre Bezahlung von Amazon Payments abgelehnt"
"Please go to <a href=""%amazonAccountUrl"">%amazonAccountUrl</a> and update the payment information for your order","Sie können unter <a href=""%amazonAccountUrl"">%amazonAccountUrl</a> die Zahlungsinformationen für Ihre Bestellung aktualisieren, indem Sie eine andere Zahlungsweise auswählen oder eine neue Zahlungsweise angeben"
"Afterwards we will automatically request payment again from Amazon Payments and you will receive a confirmation email","Mit der neuen Zahlungsweise wird dann ein erneuter Zahlungsversuch vorgenommen, und Sie erhalten eine Bestätigungsemail"
"Kind regards","Mit freundlichen Grüßen"
"Please contact us about your order","Bitte kontaktieren Sie uns wegen Ihrer Bestellung"
"Unfortunately Amazon Payments declined the payment for your order in our online shop %storeName. Please contact us.","Leider wurde die Zahlung zu Ihrer Bestellung in unserem Onlineshop %storeName von Amazon Payments zurückgewiesen. Bitte kontaktieren Sie uns."
