"Please update your payment information","Aggiorna i tuoi dati di pagamento"
"Valued customer","Gentile Cliente"
"Thank you very much for your order at %storeName","La ringraziamo molto per il suo ordine a %storeName"
"Amazon Payments was not able to process your payment","Purtroppo Amazon Payments ha rifiutato il suo pagamento"
"Please go to <a href=""%amazonAccountUrl"">%amazonAccountUrl</a> and update the payment information for your order","La preghiamo di andare all'indirizzo <a href=""%amazonAccountUrl"">%amazonAccountUrl</a> e aggiornare le informazioni di pagamento per il suo ordine"
"Afterwards we will automatically request payment again from Amazon Payments and you will receive a confirmation email","Automaticamente le verrà nuovamente richiesto da Amazon Payments di procedere col pagamento. Successivamente riceverà una mail di conferma dell'avvenuto pagamento"
"Kind regards","Cordiali saluti"
"Please contact us about your order","La preghiamo di contattarci per informazioni riguardo al suo ordine"
"Unfortunately Amazon Payments declined the payment for your order in our online shop %storeName. Please contact us.","Purtroppo Amazon Payments ha rifiutato il pagamento del suo ordine nel nostro negozio on-line %storeName. Non esiti a contattarci per ulteriori informazioni a riguardo."
